RecipID,DonorID,Population,OG,GrpType_Recip,Version,Amount_Given,Good_DR,Good_OthR,Rich_DR,Rich_OthR,Trust_DR,Trust_OthR,Friend_DR,Friend_OthR,Perceived_Benefits,Perceived_Costs,Stereotypes,Age,AgeDiff,Agreeable,Married,Nonanonymous_Play,Extraverted,Ill_This_Mo,Income_zscore,Can_Stay,log_Subj_SES,Market_Items_zscore,PlacesLived,Risk_Aversion,Years_Education,Self,Shortfall_Summary,Sex_Male,Times_Church_Mo,Visited_zscore,Coop_Labor,Media_zscore,Date.Time2,TV,Car
49,1,Intercultural,2,Religion,C,0,0,1,0,0.333333333,0,1.666666667,FALSE,0.25,,,,60,7,7,TRUE,TRUE,8,0,-0.693464112,1,1.945910149,-0.541177624,3,8,4,0,-1.385083936,FALSE,2,-0.823082457,1,-0.813093098,10/30/2014 23:54,1,0
46,1,Intercultural,2,Religion,C,2,0,1.25,1,1.333333333,0,1.083333333,FALSE,0.307692308,,,,60,-10,7,TRUE,TRUE,8,0,-0.693464112,1,1.945910149,-0.541177624,3,8,4,0,-1.385083936,FALSE,2,-0.823082457,1,-0.813093098,10/30/2014 23:54,1,0
63,1,Intercultural,1,Religion,C,7,2,2,2,1,2,1.666666667,TRUE,0,Btwn bens,None,Positive,60,-17,7,TRUE,TRUE,8,0,-0.693464112,1,1.945910149,-0.541177624,3,8,4,0,-1.385083936,FALSE,2,-0.823082457,1,-0.813093098,10/30/2014 23:54,1,0
53,1,Intercultural,2,Religion,C,1,0,0.9,0,1.8,0,0.7,FALSE,0.166666667,,,,60,-19,7,TRUE,TRUE,8,0,-0.693464112,1,1.945910149,-0.541177624,3,8,4,0,-1.385083936,FALSE,2,-0.823082457,1,-0.813093098,10/30/2014 23:54,1,0
83,1,Intercultural,1,Religion,C,8,2,2,2,0,2,1,TRUE,0.5,Btwn bens,None,Positive,60,7,7,TRUE,TRUE,8,0,-0.693464112,1,1.945910149,-0.541177624,3,8,4,0,-1.385083936,FALSE,2,-0.823082457,1,-0.813093098,10/30/2014 23:54,1,0
29,1,Intercultural,1,Religion,C,3,1,1.533333333,1,1.933333333,1,1.533333333,FALSE,0.6,Btwn bens,None,Positive,60,-21,7,TRUE,TRUE,8,0,-0.693464112,1,1.945910149,-0.541177624,3,8,4,0,-1.385083936,FALSE,2,-0.823082457,1,-0.813093098,10/30/2014 23:54,1,0
85,2,Intercultural,1,Religion,F,3,1,1.428571429,2,1.071428571,NPD,1.142857143,FALSE,0.142857143,Within bens,Suffer discrim,Negative,30,8,5,TRUE,FALSE,5,0,-0.051598451,0,0.693147181,1.434657741,2,8,12,3,-0.709630785,FALSE,4,-0.385249807,1,-0.24856691,11/21/2014 9:37,1,1
108,2,Intercultural,1,Religion,F,3,1,1.730769231,2,1.846153846,NPD,1.5,FALSE,0.461538462,Within bens,Suffer discrim,Negative,30,7,5,TRUE,FALSE,5,0,-0.051598451,0,0.693147181,1.434657741,2,8,12,3,-0.709630785,FALSE,4,-0.385249807,1,-0.24856691,11/21/2014 9:37,1,1
93,2,Intercultural,3,Religion,F,3,1,1.473684211,2,1.684210526,NPD,1,FALSE,0.473684211,,,,30,5,5,TRUE,FALSE,5,0,-0.051598451,0,0.693147181,1.434657741,2,8,12,3,-0.709630785,FALSE,4,-0.385249807,1,-0.24856691,11/21/2014 9:37,1,1
74,2,Intercultural,1,Religion,F,3,1,1.733333333,2,1.466666667,NPD,1.533333333,FALSE,0.533333333,Within bens,Suffer discrim,Negative,30,0,5,TRUE,FALSE,5,0,-0.051598451,0,0.693147181,1.434657741,2,8,12,3,-0.709630785,FALSE,4,-0.385249807,1,-0.24856691,11/21/2014 9:37,1,1
