"RecipID","DonorID","Population","OG","GrpType_Recip","Version","Amount_Given","Good_DR","Good_OthR","Rich_DR","Rich_OthR","Trust_DR","Trust_OthR","Friend_DR","Friend_OthR","Perceived_Benefits","Perceived_Costs","Stereotypes","Age","AgeDiff","Agreeable","Married","Nonanonymous_Play","Extraverted","Ill_This_Mo","Income_zscore","Can_Stay","log_Subj_SES","Market_Items_zscore","PlacesLived","Risk_Aversion","Years_Education","Self","Shortfall_Summary","Sex_Male","Times_Church_Mo","Visited_zscore","Coop_Labor","Media_zscore","Edad","GrpKnown","Date.Time2","TV","Car","Decision_Index"
49,1,"Intercultural",2,"Religion","C",0,"0",1,"0",0.333333333333333,"0",1.66666666666667,0,0.25,,,"",40,7,7,TRUE,TRUE,8,0,-0.693464112407079,1,1.94591014905531,-0.541177623672114,3,8,4,0,-1.38508393553531,FALSE,2,-0.823082457475345,1,-0.81309309813094,58,"","2014-10-30 23:54:00",1,0,1
46,1,"Intercultural",2,"Religion","C",2,"0",1.25,"1",1.33333333333333,"0",1.08333333333333,0,0.307692307692308,,,"",40,-10,7,TRUE,TRUE,8,0,-0.693464112407079,1,1.94591014905531,-0.541177623672114,3,8,4,0,-1.38508393553531,FALSE,2,-0.823082457475345,1,-0.81309309813094,58,"","2014-10-30 23:54:00",1,0,2
63,1,"Intercultural",1,"Religion","C",7,"2",2,"2",1,"2",1.66666666666667,1,0,"Btwn bens","None","Positive",40,-17,7,TRUE,TRUE,8,0,-0.693464112407079,1,1.94591014905531,-0.541177623672114,3,8,4,0,-1.38508393553531,FALSE,2,-0.823082457475345,1,-0.81309309813094,58,"Yes","2014-10-30 23:54:00",1,0,3
53,1,"Intercultural",2,"Religion","C",1,"0",0.9,"0",1.8,"0",0.7,0,0.166666666666667,,,"",40,-19,7,TRUE,TRUE,8,0,-0.693464112407079,1,1.94591014905531,-0.541177623672114,3,8,4,0,-1.38508393553531,FALSE,2,-0.823082457475345,1,-0.81309309813094,58,"","2014-10-30 23:54:00",1,0,4
83,1,"Intercultural",1,"Religion","C",8,"2",2,"2",0,"2",1,1,0.5,"Btwn bens","None","Positive",40,7,7,TRUE,TRUE,8,0,-0.693464112407079,1,1.94591014905531,-0.541177623672114,3,8,4,0,-1.38508393553531,FALSE,2,-0.823082457475345,1,-0.81309309813094,58,"Yes","2014-10-30 23:54:00",1,0,5
29,1,"Intercultural",1,"Religion","C",3,"1",1.53333333333333,"1",1.93333333333333,"1",1.53333333333333,0,0.6,"Btwn bens","None","Positive",40,-21,7,TRUE,TRUE,8,0,-0.693464112407079,1,1.94591014905531,-0.541177623672114,3,8,4,0,-1.38508393553531,FALSE,2,-0.823082457475345,1,-0.81309309813094,58,"Yes","2014-10-30 23:54:00",1,0,6
85,2,"Intercultural",1,"Religion","F",3,"1",1.42857142857143,"2",1.07142857142857,,1.14285714285714,0,0.142857142857143,"Within bens","Suffer discrim","Negative",10,8,5,TRUE,FALSE,5,0,-0.0515984514430415,0,0.693147180559945,1.43465774128494,2,8,12,3,-0.709630785069837,FALSE,4,-0.385249807345044,1,-0.248566909690698,25,"Yes","2014-11-21 09:37:00",1,1,1
108,2,"Intercultural",1,"Religion","F",3,"1",1.73076923076923,"2",1.84615384615385,,1.5,0,0.461538461538462,"Within bens","Suffer discrim","Negative",10,7,5,TRUE,FALSE,5,0,-0.0515984514430415,0,0.693147180559945,1.43465774128494,2,8,12,3,-0.709630785069837,FALSE,4,-0.385249807345044,1,-0.248566909690698,25,"Yes","2014-11-21 09:37:00",1,1,2
93,2,"Intercultural",3,"Religion","F",3,"1",1.47368421052632,"2",1.68421052631579,,1,0,0.473684210526316,,,"",10,5,5,TRUE,FALSE,5,0,-0.0515984514430415,0,0.693147180559945,1.43465774128494,2,8,12,3,-0.709630785069837,FALSE,4,-0.385249807345044,1,-0.248566909690698,25,"","2014-11-21 09:37:00",1,1,3
74,2,"Intercultural",1,"Religion","F",3,"1",1.73333333333333,"2",1.46666666666667,,1.53333333333333,0,0.533333333333333,"Within bens","Suffer discrim","Negative",10,0,5,TRUE,FALSE,5,0,-0.0515984514430415,0,0.693147180559945,1.43465774128494,2,8,12,3,-0.709630785069837,FALSE,4,-0.385249807345044,1,-0.248566909690698,25,"Yes","2014-11-21 09:37:00",1,1,4
114,2,"Intercultural",3,"Religion","F",3,"1",1.58333333333333,"2",1.33333333333333,,1.16666666666667,0,0.333333333333333,,,"",10,4,5,TRUE,FALSE,5,0,-0.0515984514430415,0,0.693147180559945,1.43465774128494,2,8,12,3,-0.709630785069837,FALSE,4,-0.385249807345044,1,-0.248566909690698,25,"","2014-11-21 09:37:00",1,1,5
45,2,"Intercultural",3,"Religion","F",3,"1",1.66666666666667,"2",1.27777777777778,,1.10526315789474,0,0.4,,,"",10,7,5,TRUE,FALSE,5,0,-0.0515984514430415,0,0.693147180559945,1.43465774128494,2,8,12,3,-0.709630785069837,FALSE,4,-0.385249807345044,1,-0.248566909690698,25,"","2014-11-21 09:37:00",1,1,6
35,3,"Intercultural",1,"Ethnic","D",1,"2",1.16666666666667,"2",1.125,"2",1.16,1,0.333333333333333,,,"",20,7,5,FALSE,TRUE,7,0,-2.18751869875598,1,1.50407739677627,1.70682446153781,4,7,12,5,-0.650157115802942,TRUE,1,2.24174609343676,0,1.55791689331808,40,"","2014-11-24 15:54:00",1,1,1
96,3,"Intercultural",3,"Ethnic","D",8,"2",1.85714285714286,"1",1.21428571428571,"2",1.46666666666667,1,0.533333333333333,,,"",20,8,5,FALSE,TRUE,7,0,-2.18751869875598,1,1.50407739677627,1.70682446153781,4,7,12,5,-0.650157115802942,TRUE,1,2.24174609343676,0,1.55791689331808,40,"","2014-11-24 15:54:00",1,1,2
